Xenophobia,"Xenophobia is the fear of that which is perceived to be foreign or strange. Xenophobia can manifest itself in many ways including a fear of losing identity, suspicion of its activities, aggression, and desire to eliminate its presence to secure a presumed purity.",politics,0
Stem Cell,"Stem Cell is an undifferentiated cell of a multicellular organism that is capable of giving rise to indefinitely more cells of the same type, and from which certain other kinds of cell arise by differentiation.",science,0
Sustainable Business,"Sustainable business, or green business, is an enterprise that has minimal negative impact on the global or local environment, community, society. Often, sustainable businesses have progressive environmental and human rights policies.",business,0
Artificial Intelligence,Artificial intelligence is intelligence exhibited by machines. AI research defines itself as the study of intelligent agents: any device that perceives its environment and takes actions that maximize its chance of success at some goal.,science,0
Placebo,A placebo is  is a substance or treatment with no active therapeutic effect. A placebo may be given to a person in order to deceive the recipient into thinking that it is an active treatment.,medicine,0
Zombie,"Zombie is s a fictional undead being created through the reanimation of a human corpse. Zombies are most commonly found in horror and fantasy genre works. The term comes from Haitian folklore, where a zombie is a dead body reanimated through magic.",social,0
Procrastination,"It is the practice of doing more pleasurable things in place of less pleasurable ones, or carrying out less urgent tasks instead of more urgent ones, thus putting off impending tasks to a later time. ",social,0
Bermuda Triangle,"The Bermuda Triangle is a loosely-defined region in the western part of the North Atlantic Ocean, where a number of aircraft and ships are said to have disappeared under mysterious circumstances.",history,0
Titanic,"Titanic was a British liner that sank in the Atlantic Ocean in 1912, after colliding with an iceberg during voyage from Southampton to New York City. Of the estimated 2,224 people aboard, more than 1,500 died, making it one of the deadliest maritime disasters.",history,0
Yellowstone Park,"Yellowstone National Park is known for its wildlife and its many geothermal features, especially Old Faithful Geyser, one of its most popular features. It has many types of ecosystems, but the subalpine forest is the most abundant.",geography,0
The Great Wall of China,"The Great Wall of China is a series of fortifications made of stone, brick, wood, and other materials, generally built along an east-to-west line across the historical northern borders of China to protect against the raids of the various groups of the Eurasian Steppe.",history,0
Mahatma Gandhi,"Mahatma Gandhi was the leader of the Indian independence movement in British-ruled India. Employing nonviolent civil disobedience, Gandhi led India to independence and inspired movements for civil rights and freedom across the world.",history,0
Penicillin,Penicillin antibiotics were among the first medications to be effective against many bacterial infections caused by staphylococci and streptococci. Penicillin was discovered in 1928 by Scottish scientist Alexander Fleming.,medicine,0
Eiffel Tower,"The Eiffel Tower is an iron lattice tower on the Champ de Mars in Paris. It is named after the engineer Eiffel, whose company built the tower. It was initially criticized by leading artists for its design, but it has become a global cultural icon of France.",history,0
Butterfly Effect,"The butterfly effect is the concept that small causes can have large effects. Initially, it was used with weather prediction but later the term became a metaphor used in and out of science.",science,0
The Big Bang Theory,"The Big Bang theory describes how the universe expanded from a very high density and high temperature state, and offers a comprehensive explanation for a broad range of phenomena, including the cosmic microwave background, large scale structure and Hubble's Law.",science,0
Mount Everest,"Mount Everest is Earth's highest mountain. It attracts many climbers. Everest presents dangers such as altitude sickness, weather, and wind, as well as significant hazards from avalanches and the Khumbu Icefall.",geography,0
Thermonuclear Fusion,"It is a way to achieve nuclear fusion by using extremely high temperatures. There are two forms: uncontrolled, where the energy is released in uncontrolled manner (weapons), and controlled, where the energy is harnessed for constructive purposes.",science,0
Teleportation,"Teleportation or teletransportation is the theoretical transfer of matter or energy from one point to another without traversing the physical space between them. It is a common subject in science fiction literature, film, video games, and television.",science,0
Optical Illusion,It is an illusion characterized by visually perceived images that differ from objective reality. The information gathered by the eye is processed in the brain to give a percept that does not tally with a physical measurement of the stimulus source.,science,0
Soap Opera,"It is a serial drama on television that examines the lives of many characters, usually focusing on emotional relationships to the point of melodrama. The term soap opera originated from such dramas being sponsored by soap manufacturers in the past.",social,0
Game Theory,"Game theory is the study of mathematical models of conflict and cooperation between intelligent rational decision-makers. Game theory is mainly used in economics, political science, and psychology, as well as logic, computer science and biology.",social,0
Climate Change,"Climate Change a change in global or regional climate patterns, in particular a change apparent from the mid to late 20th century onwards and attributed largely to the increased levels of atmospheric carbon dioxide produced by the use of fossil fuels.",social,0
Algorithms,"In mathematics and computer science, an algorithm is a self-contained sequence of actions to be performed. Algorithms can perform calculation, data processing and automated reasoning tasks.",science,0
The American Dream,"It is a national ethos of the US, the set of ideals (democracy, rights, liberty, opportunity, and equality) in which freedom includes the opportunity for prosperity and success, and an upward social mobility for the family and children, achieved through hard work.",social,0
The Olympic Games,"The Olympic Games are held every four years, with the Summer and Winter Games alternating by occurring every four years but two years apart. Their creation was inspired by the ancient Olympic Games.",history,0
Neanderthals,"Neanderthals, or more rarely Neandertals, were a species or subspecies of archaic humans in the genus Homo that went extinct about 40,000 years ago. Neanderthals and modern humans share 99.7% of their DNA and are hence closely related.",history,0
Bronze Age,"The Bronze Age is a historical period characterized by the use of bronze, proto-writing, and other early features of urban civilization. The Bronze Age is the second principal period of the three-age Stone-Bronze-Iron system.",history,0
Abraham Lincoln,"He was a politician who served as the 16th President of the US. Lincoln led the US through its Civil War greatest moral, constitutional, and political crisis. In doing so, he preserved the Union, paved the way to the abolition of slavery and modernized the economy.",history,0
Martin Luther King,Martin Luther King was an American Baptist minister and activist who was a leader in the Civil Rights Movement. He is best known for his role in the advancement of civil rights using nonviolent civil disobedience based on his Christian beliefs.,history,0
Alternative Fuel,"Some well-known alternative fuels include biodiesel, bioalcohol, refuse-derived fuel, chemically stored electricity (batteries and fuel cells), hydrogen, non-fossil methane, non-fossil natural gas, vegetable oil, propane and other biomass sources.",science,0
Snapchat,Snapchat is an image messaging and multimedia mobile application. One of the principal concepts of Snapchat is that pictures and messages are only available for a short time before they become inaccessible. ,social,0
Instagram,"Instagram is a mobile, desktop, and internet-based photo-sharing application and service that allows users to share pictures and videos either publicly or privately.",social,0
Comic Book,A comic book is a publication that consists of comic art in the form of sequential juxtaposed panels that represent individual scenes. Panels are often accompanied by brief descriptive prose and written narrative.,social,0
Nanotechnology,"It is manipulation of matter on an atomic, molecular, and superamolecular scale. The earliest, widespread description of nanotechnology referred to the goal of precisely manipulating atoms and molecules for fabrication of macroscale products.",science,0
Beauty Pageant,"It is a competition that has traditionally focused on judging the physical attributes of the contestants, although some contests have evolved to also incorporate personality traits, intelligence, talent, and answers to judges' questions as judged criteria.",social,0
Advertising,"Advertising is an audio or visual form of marketing communication that employs an openly sponsored, nonpersonal message to promote or sell a product, service or idea. ",social,0
Asteroids,"Asteroids are minor planets, especially those of the inner Solar System. The larger ones have also been called planetoids.",science,0
Asthma,"Asthma is a common long-term inflammatory disease of the airways of the lungs. Symptoms include episodes of wheezing, coughing, chest tightness, and shortness of breath.",medicine,0
Aztecz,"The Aztec people were certain ethnic groups of central Mexico, particularly those groups who dominated large parts of Mesoamerica from the 14th to 16th centuries.",history,0
Ballet,Ballet is a type of performance dance that originated in the Italian Renaissance courts of the 15th century and later developed into a concert dance form in France and Russia. ,social,0
Buddhism,"Buddhism is an Indian religion that encompasses a variety of traditions, beliefs and spiritual practices largely based on teachings attributed to the Buddha.",history,0
Chiropractic,"Chiropractic is a form of alternative medicine mostly concerned with the diagnosis and treatment of mechanical disorders of the musculoskeletal system, especially the spine.",medicine,0
Cleopatra,"Cleopatra was the last active ruler of Ptolemaic Egypt, briefly survived as pharaoh by her son Caesarion. After her reign, Egypt became a province of the recently established Roman Empire.",history,0
Cryonics,"Cryonics is the low-temperature preservation of people who cannot be sustained by contemporary medicine, with the hope that estoration to full health may be possible in the far future.",medicine,0
Dieting ,"Dieting is the practice of eating food in a regulated and supervised fashion to decrease, maintain, or increase body weight. In other words, it is conscious control or restriction of the diet.",medicine,0
Dead Sea,The Dead Sea is a salt lake bordered by Jordan to the east and Israel and Palestine to the west.,history,0
Aerobics,Aerobics is a form of physical exercise that combines rhythmic aerobic exercise with stretching and strength training routines with the goal of improving all elements of fitness.,medicine,0
 Antique,"An antique is a collectable item, at least 100 years old. It is collected because of its age, beauty, rarity, condition or other unique features.",history,0
Earthquake,"An earthquake is the shaking of the surface of the Earth, resulting from the sudden release of energy in the Earth's lithosphere that creates seismic waves.",science,0
Druids,"A druid was a member of the high-ranking professional class in ancient Celtic cultures. While best remembered as religious leaders, they were also legal authorities, medical professionals and political advisors.",history,0
Flamenco,"Flamenco is a professionalized art-form based on the various folkloric music traditions of Southern Spain in autonomous community of Andalusia, Extremadura and Murcia.",cultural,0
Glass,"Glass is a non-crystalline amorphous solid that is often transparent and has widespread practical, technological, and decorative usage.",science,0
Paper,"Paper is a thin material produced by pressing together moist fibres of cellulose pulp derived from wood, rags or grasses, and drying them into flexible sheets.",science,0
Graffiti,"Graffiti are writing or drawings that have been scribbled, scratched, or painted illicitly on a wall or other surface, often within public view.",cultural,0
Insomnia,"Insomnia, also known as sleeplessness, is a sleep disorder where people have trouble sleeping.",medicine,0
Invention,"An invention is a unique or novel device, method, composition or process. The invention process is a process within an overall engineering and product development process.",science,0
Jazz,"Jazz is a music genre that originated in African American communities of New Orleans, United States in the late 19th and early 20th centuries, and developed from roots in blues and ragtime.",cultural,0
Job Interview,"A job interview is a one-on-one interview consisting of a conversation between a job applicant and a representative of an employer, which is conducted to assess whether the applicant should be hired.",social,0
Judaism,"Judaism is an ancient monotheistic Abrahamic religion, with the Torah as its foundational text, and supplemental oral tradition represented by later texts such as the Midrash and the Talmud.",cultural,0
Canoe,"A canoe is a lightweight narrow watercraft, typically pointed at both ends and open on top, propelled by one or more seated or kneeling paddlers facing the direction of travel using a single-bladed paddle.",history,0
Quran,"The Quran or Koran is the central religious text of Islam, which Muslims believe to be a revelation from God (Allah).",history,0
Martial Arts,"Martial arts are codified systems and traditions of combat practices, which are practiced for a number of reasons: as self-defense, military and law enforcement applications, mental and spiritual development.",cultural,0
Military Service,"Military service is service by an individual or group in an army or other militia, whether as a chosen job or as a result of an involuntary draft (conscription).",cultural,0
Mythology,"Mythology refers variously to the collected myths of a group of people or to the study of such myths. Myths are the stories people tell to explain nature, history and customs.",cultural,0
Dress Code,"Dress codes are rules with regard to clothing. Clothing has a social significance, with different rules and expectations applying depending on circumstance and occasion. ",cultural,0
Opera,"Opera is an art form in which singers and musicians perform a dramatic work combining text (libretto) and musical score, usually in a theatrical setting.",cultural,0
Orientalism,"Orientalism is a term that is used by art historians, literary and cultural studies scholars for the imitation or depiction of aspects in Middle Eastern, South Asian, and East Asian cultures (Eastern cultures).",cultural,0
Pablo Picasso,"Pablo Picasso was a Spanish painter, sculptor, printmaker, stage designer. Regarded as one of the most influential artists of the 20th century, he is known for co-founding the Cubist movement.",cultural,0
Egyptian Pyramids,The Egyptian pyramids are ancient pyramid-shaped masonry structures located in Egypt. Most were built as tombs for the country's pharaohs and their consorts during the Old and Middle Kingdom periods.,history,0
Quakers ,Quakers (or Friends) are members of a historically Christian group of religious movements generally known as the Religious Society of Friends.,history,0
Robot,A robot is a machine capable of carrying out a complex series of actions automatically. Robots can be guided by an external control device or the control may be embedded within.,science,0
Rock Climbing,"Rock climbing is an activity in which participants climb up, down or across natural rock formations or artificial rock walls. The goal is to reach the summit of a formation or the endpoint. ",science,0
Stock Market,"A stock market is the aggregation of buyers and sellers of stocks, which represent ownership claims on businesses. ",science,0
Sushi,Sushi is the Japanese preparation of specially prepared vinegared rice combined with varied ingredients such as seafood and vegetables. ,cultural,0
Tattoo,"A tattoo is a form of body modification, where a design is made by inserting ink, dyes and pigments, either indelible or temporary, into the dermis layer of the skin to change the pigment.",cultural,0
Volcano,"A volcano is a rupture in the crust of a planetary-mass object, such as Earth, that allows hot lava, volcanic ash, and gases to escape from a magma chamber below the surface.",science,0
Fungus,"A fungus is any member of the group of eukaryotic organisms that includes microorganisms such as yeasts and molds, as well as the more familiar mushrooms.",science,0
Tennis,Tennis is a racket sport that can be played individually against a single opponent or between two teams of two players each. ,cultural,0
Soccer,"Soccer is a team sport played between two teams of eleven players with a spherical ball. It is played by 250 million players in over 200 countries, making it the world's most popular sport.",cultural,0
Steven Jobs,"Steven Jobs was an American entrepreneur, businessman, inventor, and industrial designer. He was the co-founder, chairman, and chief executive officer of Apple Inc.",history,0
Plastic Surgery,"Plastic surgery is a surgical specialty involving the restoration, reconstruction, or alteration of the human body. It includes cosmetic or aesthetic surgery.",medicine,0
Nursing,"Nursing is a profession within the health care sector focused on the care of individuals, families, and communities so they may attain, maintain, or recover optimal health and quality of life.",medicine,0
Silent Film,"A silent film is a film with no synchronized recorded sound, especially with no spoken dialogue. The silent film era lasted from 1895 to 1936.",cultural,0
eBay,"eBay is a multinational e-commerce corporation, facilitating online consumer-to-consumer and business-to-consumer sales.",cultural,0
